wk_end,CountyName,res_county,People,IPeople,amt_benefits
2017-02-18,Lewis and Clark,049,706,73,196911
2017-02-18,Liberty,051,8,,2020
2017-02-18,Lincoln,053,352,31,99010
2017-02-18,McCone,055,,,
2017-02-18,Madison,057,73,3,19011
2017-02-18,Meagher,059,16,,5038
2017-02-18,Mineral,061,53,,17299
2017-02-18,Missoula,063,1274,117,328567
2017-02-18,Musselshell,065,37,4,9899
2017-02-18,Park,067,151,7,40562
2017-02-18,Petroleum,069,3,,1438
2017-02-18,Phillips,071,33,3,9040
2017-02-18,Pondera,073,31,,9280
2017-02-18,Powder River,075,5,,1129
2017-02-18,Powell,077,52,3,12895
2017-02-18,Prairie,079,7,,1539
2017-02-18,Ravalli,081,528,50,143881
2017-02-18,Richland,083,88,8,26837
2017-02-18,Roosevelt,085,69,8,18191
2017-02-18,Rosebud,087,78,4,21417
2017-02-18,Sanders,089,153,12,48063
2017-02-18,Sheridan,091,21,,6323
2017-02-18,Silver Bow,093,389,45,99447
2017-02-18,Stillwater,095,88,5,26991
2017-02-18,Sweet Grass,097,19,5,5079
2017-02-18,Teton,099,61,5,18531
2017-02-18,Toole,101,16,3,4340
2017-02-18,Treasure,103,3,,
2017-02-18,Valley,105,63,3,19670
2017-02-18,Wheatland,107,12,,4442
2017-02-18,Wibaux,109,,,
2017-02-18,Yellowstone,111,1476,151,418159
2017-02-25,Beaverhead,001,64,9,17100
2017-02-25,Big Horn,003,390,23,107613
2017-02-25,Blaine,005,28,,7830
2017-02-25,Broadwater,007,50,,16890
2017-02-25,Carbon,009,85,10,24074
2017-02-25,Carter,011,3,,
2017-02-25,Cascade,013,748,68,187256
2017-02-25,Chouteau,015,16,,4868
2017-02-25,Custer,017,99,8,29052
2017-02-25,Daniels,019,3,,
2017-02-25,Dawson,021,47,6,13790
2017-02-25,Deer Lodge,023,77,7,22636
2017-02-25,Fallon,025,12,,3862
2017-02-25,Fergus,027,136,9,47150
2017-02-25,Flathead,029,1545,125,430820
2017-02-25,Gallatin,031,684,51,194398
2017-02-25,Garfield,033,6,,
2017-02-25,Glacier,035,186,11,52099
2017-02-25,Golden Valley,037,7,,2086
2017-02-25,Granite,039,39,3,12940
2017-02-25,Hill,041,112,12,29606
2017-02-25,Jefferson,043,130,10,40372
2017-02-25,Judith Basin,045,12,,
2017-02-25,Lake,047,280,23,68458
2017-02-25,Lewis and Clark,049,679,56,190730
2017-02-25,Liberty,051,4,,
2017-02-25,Lincoln,053,357,24,100987
2017-02-25,McCone,055,0,0,0
2017-02-25,Madison,057,62,,17417
2017-02-25,Meagher,059,17,5,4587
2017-02-25,Mineral,061,47,4,14631
2017-02-25,Missoula,063,1259,97,332279
2017-02-25,Musselshell,065,35,6,10917
2017-02-25,Park,067,154,11,39655
2017-02-25,Petroleum,069,3,,1438
2017-02-25,Phillips,071,32,,8878
2017-02-25,Pondera,073,35,4,8154
2017-02-25,Powder River,075,7,,1954
2017-02-25,Powell,077,62,9,14549
2017-02-25,Prairie,079,4,,834
2017-02-25,Ravalli,081,501,31,138629
2017-02-25,Richland,083,88,7,29254
2017-02-25,Roosevelt,085,64,,19402
2017-02-25,Rosebud,087,76,8,23102
2017-02-25,Sanders,089,161,14,52032
2017-02-25,Sheridan,091,20,,4253
2017-02-25,Silver Bow,093,386,36,100015
2017-02-25,Stillwater,095,80,,25185
2017-02-25,Sweet Grass,097,18,,5178
2017-02-25,Teton,099,56,,17273
2017-02-25,Toole,101,21,4,6271
2017-02-25,Treasure,103,,,
2017-02-25,Valley,105,65,4,20662
2017-02-25,Wheatland,107,11,,3493
2017-02-25,Wibaux,109,,,
2017-02-25,Yellowstone,111,1498,137,428062
2017-03-04,Beaverhead,001,56,6,15520
2017-03-04,Big Horn,003,412,29,107845
2017-03-04,Blaine,005,26,,7205
2017-03-04,Broadwater,007,46,5,14778
2017-03-04,Carbon,009,71,5,22692
2017-03-04,Carter,011,3,,535
2017-03-04,Cascade,013,742,76,196370
2017-03-04,Chouteau,015,16,3,3653
2017-03-04,Custer,017,91,8,28640
2017-03-04,Daniels,019,3,,
2017-03-04,Dawson,021,50,6,13218
2017-03-04,Deer Lodge,023,73,7,20770
2017-03-04,Fallon,025,11,,3275
2017-03-04,Fergus,027,170,46,48279
2017-03-04,Flathead,029,1559,124,429951
2017-03-04,Gallatin,031,688,72,197636
2017-03-04,Garfield,033,5,,
2017-03-04,Glacier,035,183,10,53084
2017-03-04,Golden Valley,037,6,,2099
2017-03-04,Granite,039,32,,10297
2017-03-04,Hill,041,119,12,31419
2017-03-04,Jefferson,043,120,9,38533
2017-03-04,Judith Basin,045,12,,
2017-03-04,Lake,047,262,18,64060
2017-03-04,Lewis and Clark,049,630,62,176064
2017-03-04,Liberty,051,6,,1861
2017-03-04,Lincoln,053,322,20,90643
2017-03-04,McCone,055,5,3,
2017-03-04,Madison,057,63,7,16802
2017-03-04,Meagher,059,17,,5223
2017-03-04,Mineral,061,45,4,11401
2017-03-04,Missoula,063,1196,101,313776
2017-03-04,Musselshell,065,35,3,10925
2017-03-04,Park,067,159,19,41439
2017-03-04,Petroleum,069,,,
2017-03-04,Phillips,071,29,,8094
2017-03-04,Pondera,073,30,,7009
2017-03-04,Powder River,075,8,,1729
2017-03-04,Powell,077,57,3,14776
2017-03-04,Prairie,079,7,,1197
2017-03-04,Ravalli,081,474,41,126988
2017-03-04,Richland,083,76,7,23670
2017-03-04,Roosevelt,085,72,10,20118
2017-03-04,Rosebud,087,71,3,22991
2017-03-04,Sanders,089,142,6,46706
2017-03-04,Sheridan,091,16,,4187
2017-03-04,Silver Bow,093,359,33,97041
2017-03-04,Stillwater,095,74,4,23385
2017-03-04,Sweet Grass,097,17,3,4801
2017-03-04,Teton,099,53,3,16415
2017-03-04,Toole,101,21,,7326
2017-03-04,Treasure,103,,,
2017-03-04,Valley,105,63,7,18366
2017-03-04,Wheatland,107,11,,3290
2017-03-04,Wibaux,109,,,
2017-03-04,Yellowstone,111,1386,170,396463
2017-03-11,Beaverhead,001,56,7,13060
2017-03-11,Big Horn,003,400,17,107922
2017-03-11,Blaine,005,26,3,7440
2017-03-11,Broadwater,007,44,3,14306
2017-03-11,Carbon,009,76,8,22244
2017-03-11,Carter,011,4,,
2017-03-11,Cascade,013,729,74,194953
2017-03-11,Chouteau,015,18,,4476
2017-03-11,Custer,017,90,9,27511
2017-03-11,Daniels,019,,,
2017-03-11,Dawson,021,48,3,15240
2017-03-11,Deer Lodge,023,73,3,20737
2017-03-11,Fallon,025,9,,2817
2017-03-11,Fergus,027,147,6,48265
2017-03-11,Flathead,029,1495,117,411256
2017-03-11,Gallatin,031,655,72,186560
2017-03-11,Garfield,033,5,,
2017-03-11,Glacier,035,169,10,48158
2017-03-11,Golden Valley,037,8,,2604
2017-03-11,Granite,039,30,,10478
2017-03-11,Hill,041,104,8,26790
2017-03-11,Jefferson,043,113,9,37118
2017-03-11,Judith Basin,045,13,,
2017-03-11,Lake,047,230,8,57403
2017-03-11,Lewis and Clark,049,617,71,164235
2017-03-11,Liberty,051,6,,1436
2017-03-11,Lincoln,053,322,22,93996
2017-03-11,McCone,055,,,
2017-03-11,Madison,057,64,4,19957
2017-03-11,Meagher,059,16,,5198
2017-03-11,Mineral,061,39,5,9963
2017-03-11,Missoula,063,1183,111,305455
2017-03-11,Musselshell,065,32,3,10307
2017-03-11,Park,067,151,13,37334
2017-03-11,Petroleum,069,,,
2017-03-11,Phillips,071,30,,9762
2017-03-11,Pondera,073,34,,9167
2017-03-11,Powder River,075,9,,1550
2017-03-11,Powell,077,56,12,12744
2017-03-11,Prairie,079,5,,
2017-03-11,Ravalli,081,465,39,121567
2017-03-11,Richland,083,83,13,24712
2017-03-11,Roosevelt,085,63,4,19472
2017-03-11,Rosebud,087,66,4,18811
2017-03-11,Sanders,089,143,9,46603
2017-03-11,Sheridan,091,15,,3837
2017-03-11,Silver Bow,093,350,25,93307
2017-03-11,Stillwater,095,72,6,22442
2017-03-11,Sweet Grass,097,15,,4506
2017-03-11,Teton,099,47,,15220
2017-03-11,Toole,101,18,,6347
2017-03-11,Treasure,103,0,0,0
2017-03-11,Valley,105,65,4,20299
2017-03-11,Wheatland,107,17,5,3644
2017-03-11,Wibaux,109,0,0,0
2017-03-11,Yellowstone,111,1385,160,390137
2017-03-18,Beaverhead,001,46,4,13061
2017-03-18,Big Horn,003,413,21,112716
2017-03-18,Blaine,005,22,,5303
2017-03-18,Broadwater,007,43,4,14585
2017-03-18,Carbon,009,71,10,19692
2017-03-18,Carter,011,3,,
2017-03-18,Cascade,013,625,65,154037
2017-03-18,Chouteau,015,21,,6236
2017-03-18,Custer,017,82,4,24896
2017-03-18,Daniels,019,,,
2017-03-18,Dawson,021,46,5,13987
2017-03-18,Deer Lodge,023,61,3,18870
2017-03-18,Fallon,025,12,,3443
2017-03-18,Fergus,027,129,8,42801
2017-03-18,Flathead,029,1474,169,401489
2017-03-18,Gallatin,031,600,87,161903
2017-03-18,Garfield,033,5,,
2017-03-18,Glacier,035,160,8,47328
2017-03-18,Golden Valley,037,6,,1640
2017-03-18,Granite,039,37,7,10093
2017-03-18,Hill,041,119,17,28602
2017-03-18,Jefferson,043,110,10,33820
2017-03-18,Judith Basin,045,6,,
2017-03-18,Lake,047,226,31,50055
2017-03-18,Lewis and Clark,049,539,45,150628
2017-03-18,Liberty,051,4,,
2017-03-18,Lincoln,053,323,45,85135
2017-03-18,McCone,055,3,,
2017-03-18,Madison,057,54,6,14956
2017-03-18,Meagher,059,13,,3241
2017-03-18,Mineral,061,40,3,12018
2017-03-18,Missoula,063,1081,110,272613
2017-03-18,Musselshell,065,37,4,10825
2017-03-18,Park,067,142,22,33469
2017-03-18,Petroleum,069,,,
2017-03-18,Phillips,071,36,,11465
2017-03-18,Pondera,073,35,,11407
2017-03-18,Powder River,075,7,,1604
2017-03-18,Powell,077,55,7,14659
2017-03-18,Prairie,079,4,,784
2017-03-18,Ravalli,081,406,38,102852
2017-03-18,Richland,083,82,8,27170
2017-03-18,Roosevelt,085,64,3,19834
2017-03-18,Rosebud,087,66,3,18282
2017-03-18,Sanders,089,139,24,41416
2017-03-18,Sheridan,091,14,,4751
2017-03-18,Silver Bow,093,321,26,88163
2017-03-18,Stillwater,095,65,5,18392
2017-03-18,Sweet Grass,097,23,3,5962
2017-03-18,Teton,099,51,,14812
2017-03-18,Toole,101,19,,5801
2017-03-18,Treasure,103,3,,
2017-03-18,Valley,105,60,4,18732
2017-03-18,Wheatland,107,9,,2715
2017-03-18,Wibaux,109,0,0,0
2017-03-18,Yellowstone,111,1201,135,340294
2017-03-25,Beaverhead,001,47,4,12684
2017-03-25,Big Horn,003,412,16,110837
2017-03-25,Blaine,005,16,,5406
2017-03-25,Broadwater,007,44,8,11956
2017-03-25,Carbon,009,66,4,19987
2017-03-25,Carter,011,3,,535
2017-03-25,Cascade,013,547,59,134904
2017-03-25,Chouteau,015,15,,4432
2017-03-25,Custer,017,80,5,23509
2017-03-25,Daniels,019,,,
2017-03-25,Dawson,021,38,,11171
2017-03-25,Deer Lodge,023,56,9,15522
2017-03-25,Fallon,025,9,,2973
2017-03-25,Fergus,027,124,4,38364
2017-03-25,Flathead,029,1362,109,374068
2017-03-25,Gallatin,031,619,90,160887
2017-03-25,Garfield,033,5,,
2017-03-25,Glacier,035,150,11,41132
2017-03-25,Golden Valley,037,7,,2714
